activemodel, 4.0.0, MIT
activesupport, 4.0.0, MIT
addressable, 2.3.5, Apache License 2.0
atomic, 1.1.13, Apache-2.0
attr_required, 0.0.5, MIT
builder, 3.1.4, MIT
bundler, 1.3.5, MIT
columnize, 0.3.6, Ruby
crack, 0.3.2, MIT
debugger, 1.6.1, BSD
debugger-linecache, 1.2.0, MIT
debugger-ruby_core_source, 1.2.3, ruby
diff-lcs, 1.1.3, MIT
faraday, 0.8.8, MIT
faraday-conductivity, 0.1.1, MIT
faraday_middleware, 0.9.0, MIT
httparty, 0.11.0, MIT
httpclient, 2.3.4.1, ruby
i18n, 0.6.5, MIT
license_finder, 0.9.2, MIT
minitest, 4.7.5, MIT
multi_json, 1.7.9, MIT
multi_xml, 0.5.5, MIT
multipart-post, 1.2.0, MIT
rack, 1.5.2, MIT
rack-oauth2, 1.0.5, MIT
rake, 10.1.0, MIT
retriable, 1.3.3.1, MIT
rspec, 2.11.0, MIT
rspec-core, 2.11.1, MIT
rspec-expectations, 2.11.3, MIT
rspec-mocks, 2.11.3, MIT
sequel, 4.2.0, MIT
shutl_auth, 0.8.1, MIT
shutl_resource, 1.3.6, MIT
sqlite3, 1.3.8, MIT
thor, 0.18.1, MIT
thread_safe, 0.1.2, Apache-2.0
tzinfo, 0.3.37, MIT
webmock, 1.8.11, MIT
